State,adh_APRavg,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,AdhSEPavg,Pop_2019,PopDensity,Age,NHBlack,NHispanic,NHWhite,tot_cases_Apr,tot_cases_Aug,tot_Cases_Jul,tot_cases_Jun,tot_cases_May,tot_cases_Sep,zcase_rate_Aug,zcase_rate_Jul,zcase_rate_Jun,zcase_rate_May,zcase_rate_Sep,zMaskPolStart
Alabama,24.67,65.35483871,62.67741935,27.6,30.13,59.83,4903185,94.4,39.3,26.7,4.1,65.5,7306,126058,87867,38064,18245,154701,778.901877,1015.727532,404.2066534,223.099883,584.1713091,7/16/2020
Alaska,33.3,56.83870968,57.4516129,46.03,42.42,52.33,731545,1.2,34.9,2.9,7,60.6,355,5263,2990,940,460,7824,310.7122597,280.2288308,65.6145555,14.35318401,350.080993,4/24/2020
Arizona,14.9,87.25806452,83.12903226,21.77,17.55,67.97,7278717,63,38,4.1,31.4,54.7,7648,201835,174010,79215,19936,218507,382.2789099,1302.358644,814.4155076,168.8209612,229.0513562,0
Arkansas,27.57,59,58.25806452,36.9,38.19,60.2,3017804,56,38.1,15.2,7.4,72.3,3255,61224,42511,20777,7253,83697,620.086659,720.1925639,448.1404359,132.4804394,744.680569,7/20/2020
California,38.07,74.61290323,74.29032258,48.7,45.23,72.47,39512223,251.3,36.7,5.5,39.1,37,48917,704085,493588,222917,110583,810625,532.7389451,685.0310599,284.3018982,156.0681615,269.6380814,6/18/2020
Colorado,31.1,61.70967742,61.12903226,48,45.71,63.57,5758736,52,36.9,3.9,21.5,68.2,15182,57424,46809,32715,26378,70536,184.3286443,244.7412071,110.0415091,194.4176639,227.6888539,7/16/2020
Connecticut,22.97,73.35483871,78.5483871,55.4,47.68,71.37,3565287,738.1,41.1,9.9,16.1,66.7,27700,52879,49810,46514,42201,57550,86.08002666,92.44697552,120.9720283,406.7274247,131.0132957,4/20/2020
Delaware,25.47,68.41935484,65.74193548,39.83,36.39,70.9,973764,460.8,41.1,21.5,9.3,62.2,4734,17535,14877,11510,9606,20613,272.9614157,345.7716654,195.5299231,500.3265678,316.0930164,4/28/2020
District of Columbia,25.63,71.77419355,69.38709677,39.87,36.39,72.33,705749,10298,33.9,45.3,11,36.5,4323,13992,12126,10327,8801,15326,264.3999496,254.9064894,216.2241817,634.5032016,189.0190422,4/17/2020
Florida,35.03,71.64516129,66.90322581,45.1,43.45,65.93,21477737,353.4,42.2,15.4,25.6,53.8,33690,616629,465030,149781,54764,698051,705.8425196,1467.794303,442.3976325,98.12020698,379.0995299,0
Georgia,24.6,59.96774194,57.61290323,34.77,32.13,58.27,10617423,168.4,36.8,31.1,9.6,52.6,26095,270471,186352,81291,47009,318026,792.2732286,989.5150641,322.884376,196.9781179,447.8958783,0
Hawaii,34.1,77.58064516,78.09677419,46.4,42.52,73.77,1415872,222.9,39.3,16,10.5,21.8,562,7835,1989,842,607,12589,412.8904308,81.01014781,16.59754554,3.178253401,335.7648149,4/16/2020
Idaho,20.8,41.06451613,44.35483871,34,28.03,42.6,1787065,19.8,36.8,0.6,12.4,82,2015,32088,20721,6117,2839,42048,636.070876,817.2058655,183.4292541,46.10912306,557.3384292,0
Illinois,21.63,61.51612903,65.64516129,32.4,30.87,64.63,12671821,89,38.3,14,17.2,61.2,52918,236725,180118,144238,120260,295763,446.7155904,283.147939,189.2230012,531.4311179,465.8998892,5/1/2020
Indiana,22.67,61.90322581,52.70967742,19.63,23.71,59.23,6732219,181,37.8,9.2,6.9,79.2,17835,94196,66154,45594,34574,120019,416.5342809,305.3970764,163.6904563,248.6401586,383.5733805,7/27/2020
Iowa,21.63,48.61290323,50.48387097,30.5,24.61,48.1,3155070,57,38.1,3.3,5.9,85.9,7145,64823,44582,28947,19552,88830,641.5388565,495.5516042,297.7746928,393.2400866,760.9022938,0
Kansas,25,49.58064516,50.83870968,30.5,24.61,55.37,2913314,36,37.1,5.5,11.9,75.9,4238,42612,27812,14443,9719,59749,508.0125246,458.8932055,162.1521058,188.1362599,588.2304482,7/3/2020
Kentucky,17.2,70.48387097,73.61290323,36.87,25.52,63.3,4467673,114,39.1,8,3.5,84.6,4708,48396,30151,15624,9704,68840,408.3781423,325.1580857,132.5074597,111.8255521,457.5983963,5/11/2020
Louisiana,27.63,58.06451613,56.87096774,36.9,38.19,57.53,4648794,108,37.3,32.1,5.2,58.5,28044,148894,116280,58095,39916,167458,701.5582966,1251.614935,391.0476567,255.3780615,399.3293745,7/11/2020
Maine,22.97,65.03225806,70.96774194,55.4,47.68,61.1,1344212,44,45.1,1.2,1.6,93.4,1123,4548,3937,3294,2349,5431,45.45413967,47.83471655,70.30141079,91.20585146,65.6890431,5/1/2020
Maryland,23.87,73.41935484,71.09677419,39.87,36.35,71.9,6045680,627,38.8,29.4,10.1,50.7,23472,108863,89365,67918,53327,125510,322.5112808,354.7491763,241.3458866,493.823689,275.3536409,4/18/2020
Massachusetts,23.1,74.64516129,79.64516129,55.4,47.68,71.7,6892503,894,39.5,7,11.8,71.5,62205,128202,117612,108882,96965,139649,153.6451997,126.6593573,172.8980024,504.3160663,166.0789992,5/6/2020
Michigan,30.23,73.93548387,74.64516129,37.4,37.42,65.03,9986857,178,39.8,13.6,5.1,75,41379,113025,90574,70728,57397,138014,224.8054618,198.7211792,133.4854399,160.3908016,250.2188627,4/27/2020
Minnesota,21.7,57.70967742,59.32258065,30.5,24.61,61.83,5639632,72,38.2,6.4,5.3,79.9,5136,75864,55188,36716,25208,99134,366.619666,327.5391018,204.0558675,355.9097473,412.6155749,7/24/2020
Mississippi,18.03,53.03225806,42.48387097,30.77,27.84,60.97,2976149,64,37.7,37.9,2.9,56.6,7212,83584,59881,27900,15752,98886,796.4318991,1074.576575,408.1784884,286.9479989,514.1543653,8/5/2020
Missouri,21.83,47.42857143,59.74193548,34.67,26.23,51.57,6137428,90,38.8,11.4,4.2,79.4,7562,84697,50323,21551,13147,126113,560.0717434,468.7957236,136.9303233,90.99903086,674.8103603,0
